#n        indexOf  err       dictionary  err
100      0.8493    0.0138   0.8361    0.0173
500      0.8957    0.0118   0.9141    0.0319
1000     0.97614   0.00583  0.8729    0.0435
5000     2.2189    0.0897   0.8897    0.0220
10000    5.2844    0.0935   0.9111    0.0299
50000    102.69    2.36     1.0184    0.0390
100000   NA        NA       0.9722    0.0249
500000   NA        NA       1.1291    0.0189
1000000  NA        NA       1.2310    0.0186
5000000  NA        NA       2.6922    0.0334
10000000 NA        NA       5.0272    0.0456
30000000 NA        NA       13.0984   0.0346
50000000 NA        NA       22.004    0.136
